old_service,method,new_service
IdentityService,ApproveDeviceAuthorization,IdentityService
IdentityService,BeginRecovery,IdentityService
IdentityService,BeginWebAuthnAuthentication,IdentityService
IdentityService,BeginWebAuthnRegistration,IdentityService
IdentityService,BindSignupInviteEmail,IdentityService
IdentityService,ClaimNextDropCode,IdentityService
IdentityService,ClaimSignupInvite,IdentityService
IdentityService,ClaimHandle,IdentityService
IdentityService,CompleteRecovery,IdentityService
IdentityService,CreateSignupInvite,IdentityService
IdentityService,CreateAgentAccount,IdentityService
IdentityService,CreateDeviceAuthorization,IdentityService
IdentityService,CreateServiceAccount,IdentityService
IdentityService,DeclareRecoveryMethod,IdentityService
IdentityService,ExchangeDeviceAuthorization,IdentityService
IdentityService,FinishWebAuthnAuthentication,IdentityService
IdentityService,GetInvitationSummary,IdentityService
IdentityService,GetHandleStatus,IdentityService
IdentityService,IntrospectCredential,IdentityService
IdentityService,IssuePresenceToken,IdentityService
IdentityService,IssueServiceAccountCredential,IdentityService
IdentityService,IssueSignupEmailChallenge,IdentityService
IdentityService,LinkOAuthIdentity,IdentityService
IdentityService,ListScopeCapabilities,IdentityService
IdentityService,ListServiceAccounts,IdentityService
IdentityService,MintAnonBiscuit,IdentityService
IdentityService,MintGitHubAppSetupChallenge,IdentityService
IdentityService,ListInstallationRepositories,IdentityService
IdentityService,RegisterGitHubInstallation,IdentityService
IdentityService,RegisterPublicKey,IdentityService
IdentityService,RequestHeldName,IdentityService
IdentityService,RemainingDropCodes,IdentityService
IdentityService,ResolveHandle,IdentityService
IdentityService,ResolveSignupInvite,IdentityService
IdentityService,RevokeCredential,IdentityService
IdentityService,RevokeDevice,IdentityService
IdentityService,RevokeServiceAccount,IdentityService
IdentityService,RevokeSession,IdentityService
IdentityService,RotateCredential,IdentityService
IdentityService,StoreProviderToken,IdentityService
IdentityService,SubmitRecoveryProof,IdentityService
IdentityService,VerifySignupEmail,IdentityService
IdentityService,VetoRecovery,IdentityService
IdentityService,WaitForDeviceAuthorization,IdentityService
OwnerAuthorizationService,BootstrapOwnerRoot,OwnerAuthorizationService
OwnerAuthorizationService,RotateOwnerKey,OwnerAuthorizationService
OwnerAuthorizationService,RecoverOwnerKey,OwnerAuthorizationService
OwnerAuthorizationService,ChangeOwnerRecoveryPolicy,OwnerAuthorizationService
OwnerAuthorizationService,GetCurrentOwnerKeyring,OwnerAuthorizationService
OwnerAuthorizationService,SubmitOwnerAuthorization,OwnerAuthorizationService
OwnerAuthorizationService,TransferResourceOwnership,OwnerAuthorizationService
RegistryService,AttachChild,SpoolService
RegistryService,CreateGrant,SpoolService
RegistryService,CreateInvitation,SpoolService
RegistryService,CreateSpool,SpoolService
RegistryService,DeleteBookmark,SpoolService
RegistryService,DeleteGrant,SpoolService
RegistryService,DeleteSpool,SpoolService
RegistryService,DetachChild,SpoolService
RegistryService,GrantSupportAccess,SpoolService
RegistryService,ListBookmarks,SpoolService
RegistryService,ListSupportAccessGrants,SpoolService
RegistryService,ResolveMonorepo,SpoolService
RegistryService,ResolveSubjects,SpoolService
RegistryService,RevokeInvitation,SpoolService
RegistryService,RevokeSupportAccess,SpoolService
RegistryService,SetSpoolVisibility,SpoolService
RegistryService,UpdateGrant,SpoolService
RegistryService,UpdateSpool,SpoolService
RegistryService,UpdateSpoolSettings,SpoolService
RegistryService,UpsertBookmark,SpoolService
WorkflowService,AddApprovalGroupMember,SpoolService
WorkflowService,AddPolicyGroupRequirement,SpoolService
WorkflowService,CreateApprovalGroup,SpoolService
WorkflowService,CreateThreadPolicy,SpoolService
WorkflowService,DeleteApprovalGroup,SpoolService
WorkflowService,DeleteThreadPolicy,SpoolService
WorkflowService,ListApprovalGroups,SpoolService
WorkflowService,ListThreadPolicies,SpoolService
WorkflowService,RemoveApprovalGroupMember,SpoolService
WorkflowService,RemovePolicyGroupRequirement,SpoolService
NotificationService,MarkNotificationRead,NotificationService
NotificationService,GetNotificationPreferences,NotificationService
NotificationService,SetNotificationPreferences,NotificationService
NotificationService,Unsubscribe,NotificationService
AttentionService,RecordInteraction,AttentionService
AttentionService,UpdateFeedItem,AttentionService
OperationService,SubmitOperation,OperationService
OperationService,SubmitOperationBatch,OperationService
OperationService,SetRemoteLink,OperationService
OperationService,GetRemoteLink,OperationService
AgentService,GetAgentCommand,RunService
AgentService,GetAgentPolicy,RunService
AgentService,UpdateAgentPolicy,RunService
AgentService,ListHarnessPreferences,RunService
AgentService,DeleteHarnessPreference,RunService
AttestationService,RecordSignature,EvidenceService
AttestationService,VerifySignature,EvidenceService
StateReviewService,GetRepoSignalHealth,EvidenceService
StateReviewService,RecordCheckAck,EvidenceService
StateReviewService,RecordVerdict,EvidenceService
StateReviewService,SignState,EvidenceService
